AGE,CI_LOWER,CI_UPPER,COUNT,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR,RATE == as.numeric(RATE)
5-9,3.1,3.6,667,Incidence,20146188,All Races,3.3,Male and Female,Brain and Other Nervous System,1999,TRUE
50-54,7.6,8.5,1329,Incidence,16557188,All Races,8,Male and Female,Brain and Other Nervous System,1999,FALSE
55-59,10.6,11.8,1432,Incidence,12787366,All Races,11.2,Male and Female,Brain and Other Nervous System,1999,TRUE
60-64,13.6,15.1,1497,Incidence,10435791,All Races,14.3,Male and Female,Brain and Other Nervous System,1999,TRUE
65-69,17.3,19.1,1693,Incidence,9311622,All Races,18.2,Male and Female,Brain and Other Nervous System,1999,TRUE
70-74,20.7,22.6,1876,Incidence,8670689,All Races,21.6,Male and Female,Brain and Other Nervous System,1999,TRUE
75-79,21.7,23.9,1635,Incidence,7174978,All Races,22.8,Male and Female,Brain and Other Nervous System,1999,TRUE
80-84,20.9,23.5,1057,Incidence,4767800,All Races,22.2,Male and Female,Brain and Other Nervous System,1999,TRUE
85+,15.5,18.0,678,Incidence,4050040,All Races,16.7,Male and Female,Brain and Other Nervous System,1999,TRUE
<1,3.0,4.2,131,Incidence,3708753,All Races,3.5,Male and Female,Brain and Other Nervous System,1999,TRUE
1-4,~,~,~,Incidence,7323088,All Races,NA,Male and Female,Cervix,1999,NA
10-14,~,~,~,Incidence,9626112,All Races,NA,Male and Female,Cervix,1999,NA
15-19,0.2,0.4,27,Incidence,9518101,All Races,0.3,Male and Female,Cervix,1999,TRUE
20-24,1.7,2.3,173,Incidence,8878726,All Races,1.9,Male and Female,Cervix,1999,TRUE
25-29,6.8,7.9,697,Incidence,9485612,All Races,7.3,Male and Female,Cervix,1999,TRUE
30-34,12.1,13.5,1285,Incidence,10043506,All Races,12.8,Male and Female,Cervix,1999,TRUE
35-39,14.5,16.0,1712,Incidence,11234781,All Races,15.2,Male and Female,Cervix,1999,TRUE
40-44,16.2,17.7,1858,Incidence,10959118,All Races,17,Male and Female,Cervix,1999,FALSE
45-49,15.7,17.3,1612,Incidence,9773825,All Races,16.5,Male and Female,Cervix,1999,TRUE
5-9,~,~,~,Incidence,9827638,All Races,NA,Male and Female,Cervix,1999,NA
50-54,14.7,16.4,1315,Incidence,8457936,All Races,15.5,Male and Female,Cervix,1999,TRUE
55-59,16.1,18.2,1132,Incidence,6610482,All Races,17.1,Male and Female,Cervix,1999,TRUE
60-64,15.6,17.8,915,Incidence,5478102,All Races,16.7,Male and Female,Cervix,1999,TRUE
65-69,15.1,17.4,815,Incidence,5017117,All Races,16.2,Male and Female,Cervix,1999,TRUE
70-74,14.1,16.4,741,Incidence,4866748,All Races,15.2,Male and Female,Cervix,1999,TRUE
75-79,14.1,16.4,644,Incidence,4231312,All Races,15.2,Male and Female,Cervix,1999,TRUE
80-84,12.8,15.5,425,Incidence,3006630,All Races,14.1,Male and Female,Cervix,1999,TRUE
85+,12.6,15.4,402,Incidence,2886265,All Races,13.9,Male and Female,Cervix,1999,TRUE
<1,~,~,~,Incidence,1809670,All Races,NA,Male and Female,Cervix,1999,NA
1-4,~,~,~,Incidence,14991152,All Races,NA,Male and Female,Colon and Rectum,1999,NA
10-14,~,~,~,Incidence,19742631,All Races,NA,Male and Female,Colon and Rectum,1999,NA
15-19,0.2,0.3,50,Incidence,19585857,All Races,0.3,Male and Female,Colon and Rectum,1999,TRUE
20-24,0.6,0.9,131,Incidence,18148795,All Races,0.7,Male and Female,Colon and Rectum,1999,TRUE
25-29,1.7,2.1,370,Incidence,19157556,All Races,1.9,Male and Female,Colon and Rectum,1999,TRUE
30-34,3.6,4.1,772,Incidence,20196134,All Races,3.8,Male and Female,Colon and Rectum,1999,TRUE
35-39,7.0,7.8,1656,Incidence,22411728,All Races,7.4,Male and Female,Colon and Rectum,1999,TRUE
40-44,14.2,15.2,3190,Incidence,21729686,All Races,14.7,Male and Female,Colon and Rectum,1999,TRUE
45-49,27.6,29.1,5445,Incidence,19235534,All Races,28.3,Male and Female,Colon and Rectum,1999,TRUE
5-9,~,~,~,Incidence,20146188,All Races,NA,Male and Female,Colon and Rectum,1999,NA
50-54,50.6,52.8,8561,Incidence,16557188,All Races,51.7,Male and Female,Colon and Rectum,1999,TRUE
55-59,85.6,88.8,11150,Incidence,12787366,All Races,87.2,Male and Female,Colon and Rectum,1999,TRUE
60-64,134.0,138.5,14213,Incidence,10435791,All Races,136.2,Male and Female,Colon and Rectum,1999,TRUE
65-69,203.4,209.2,19210,Incidence,9311622,All Races,206.3,Male and Female,Colon and Rectum,1999,TRUE
70-74,264.6,271.5,23237,Incidence,8670689,All Races,268,Male and Female,Colon and Rectum,1999,FALSE
75-79,337.2,345.8,24503,Incidence,7174978,All Races,341.5,Male and Female,Colon and Rectum,1999,TRUE
80-84,399.8,411.3,19334,Incidence,4767800,All Races,405.5,Male and Female,Colon and Rectum,1999,TRUE
85+,443.5,456.6,18227,Incidence,4050040,All Races,450,Male and Female,Colon and Rectum,1999,FALSE
<1,~,~,~,Incidence,3708753,All Races,NA,Male and Female,Colon and Rectum,1999,NA
1-4,~,~,~,Incidence,7323088,All Races,NA,Male and Female,"Corpus and Uterus, NOS",1999,NA
10-14,~,~,~,Incidence,9626112,All Races,NA,Male and Female,"Corpus and Uterus, NOS",1999,NA
15-19,~,~,~,Incidence,9518101,All Races,NA,Male and Female,"Corpus and Uterus, NOS",1999,NA
20-24,0.3,0.6,39,Incidence,8878726,All Races,0.4,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
25-29,1.4,1.9,152,Incidence,9485612,All Races,1.6,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
30-34,3.0,3.8,340,Incidence,10043506,All Races,3.4,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
35-39,6.3,7.2,757,Incidence,11234781,All Races,6.7,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
40-44,11.5,12.9,1336,Incidence,10959118,All Races,12.2,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
45-49,21.5,23.4,2191,Incidence,9773825,All Races,22.4,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
5-9,~,~,~,Incidence,9827638,All Races,NA,Male and Female,"Corpus and Uterus, NOS",1999,NA
50-54,44.4,47.3,3876,Incidence,8457936,All Races,45.8,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
55-59,63.7,67.7,4342,Incidence,6610482,All Races,65.7,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
60-64,78.5,83.3,4430,Incidence,5478102,All Races,80.9,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
65-69,89.9,95.2,4641,Incidence,5017117,All Races,92.5,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
70-74,89.6,95.0,4489,Incidence,4866748,All Races,92.2,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
75-79,88.6,94.4,3871,Incidence,4231312,All Races,91.5,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
80-84,86.3,93.1,2694,Incidence,3006630,All Races,89.6,Male and Female,"Corpus and Uterus, NOS",1999,TRUE
85+,62.1,68.0,1875,Incidence,2886265,All Races,65,Male and Female,"Corpus and Uterus, NOS",1999,FALSE
<1,~,~,~,Incidence,1809670,All Races,NA,Male and Female,"Corpus and Uterus, NOS",1999,NA
1-4,~,~,~,Incidence,14991152,All Races,NA,Male and Female,Esophagus,1999,NA
10-14,~,~,~,Incidence,19742631,All Races,NA,Male and Female,Esophagus,1999,NA
15-19,~,~,~,Incidence,19585857,All Races,NA,Male and Female,Esophagus,1999,NA
20-24,~,~,~,Incidence,18148795,All Races,NA,Male and Female,Esophagus,1999,NA
25-29,~,~,~,Incidence,19157556,All Races,NA,Male and Female,Esophagus,1999,NA
30-34,0.1,0.2,32,Incidence,20196134,All Races,0.2,Male and Female,Esophagus,1999,TRUE
35-39,0.4,0.5,97,Incidence,22411728,All Races,0.4,Male and Female,Esophagus,1999,TRUE
40-44,1.1,1.4,274,Incidence,21729686,All Races,1.3,Male and Female,Esophagus,1999,TRUE
45-49,2.9,3.4,603,Incidence,19235534,All Races,3.1,Male and Female,Esophagus,1999,TRUE
5-9,~,~,~,Incidence,20146188,All Races,NA,Male and Female,Esophagus,1999,NA
50-54,5.9,6.7,1046,Incidence,16557188,All Races,6.3,Male and Female,Esophagus,1999,TRUE
55-59,9.9,11.0,1332,Incidence,12787366,All Races,10.4,Male and Female,Esophagus,1999,TRUE
60-64,15.3,16.8,1671,Incidence,10435791,All Races,16,Male and Female,Esophagus,1999,FALSE
65-69,20.5,22.4,1994,Incidence,9311622,All Races,21.4,Male and Female,Esophagus,1999,TRUE
70-74,24.2,26.4,2193,Incidence,8670689,All Races,25.3,Male and Female,Esophagus,1999,TRUE
75-79,25.0,27.4,1876,Incidence,7174978,All Races,26.1,Male and Female,Esophagus,1999,TRUE
80-84,24.5,27.4,1234,Incidence,4767800,All Races,25.9,Male and Female,Esophagus,1999,TRUE
85+,22.2,25.2,959,Incidence,4050040,All Races,23.7,Male and Female,Esophagus,1999,TRUE
<1,~,~,~,Incidence,3708753,All Races,NA,Male and Female,Esophagus,1999,NA
1-4,~,~,~,Incidence,7323088,All Races,NA,Male and Female,Female Breast,1999,NA
10-14,~,~,~,Incidence,9626112,All Races,NA,Male and Female,Female Breast,1999,NA
15-19,0.1,0.3,17,Incidence,9518101,All Races,0.2,Male and Female,Female Breast,1999,TRUE
20-24,1.1,1.6,119,Incidence,8878726,All Races,1.3,Male and Female,Female Breast,1999,TRUE
25-29,7.6,8.8,775,Incidence,9485612,All Races,8.2,Male and Female,Female Breast,1999,TRUE
30-34,26.5,28.5,2760,Incidence,10043506,All Races,27.5,Male and Female,Female Breast,1999,TRUE
35-39,61.0,63.9,7012,Incidence,11234781,All Races,62.4,Male and Female,Female Breast,1999,TRUE
40-44,119.0,123.2,13271,Incidence,10959118,All Races,121.1,Male and Female,Female Breast,1999,TRUE
45-49,188.1,193.6,18649,Incidence,9773825,All Races,190.8,Male and Female,Female Breast,1999,TRUE
5-9,~,~,~,Incidence,9827638,All Races,NA,Male and Female,Female Breast,1999,NA
50-54,256.7,263.6,21999,Incidence,8457936,All Races,260.1,Male and Female,Female Breast,1999,TRUE
55-59,318.5,327.2,21343,Incidence,6610482,All Races,322.9,Male and Female,Female Breast,1999,TRUE
60-64,367.8,378.0,20425,Incidence,5478102,All Races,372.8,Male and Female,Female Breast,1999,TRUE
65-69,416.9,428.3,21199,Incidence,5017117,All Races,422.5,Male and Female,Female Breast,1999,TRUE
70-74,460.9,473.1,22725,Incidence,4866748,All Races,466.9,Male and Female,Female Breast,1999,TRUE
75-79,483.5,496.9,20740,Incidence,4231312,All Races,490.2,Male and Female,Female Breast,1999,TRUE
80-84,455.0,470.4,13910,Incidence,3006630,All Races,462.6,Male and Female,Female Breast,1999,TRUE
85+,396.4,411.1,11652,Incidence,2886265,All Races,403.7,Male and Female,Female Breast,1999,TRUE
<1,~,~,~,Incidence,1809670,All Races,NA,Male and Female,Female Breast,1999,NA
1-4,~,~,~,Incidence,7323088,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",1999,NA
10-14,~,~,~,Incidence,9626112,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",1999,NA
15-19,~,~,~,Incidence,9518101,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",1999,NA
20-24,~,~,~,Incidence,8878726,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",1999,NA
25-29,0.5,0.9,65,Incidence,9485612,All Races,0.7,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
30-34,2.2,2.8,253,Incidence,10043506,All Races,2.5,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
35-39,9.9,11.1,1174,Incidence,11234781,All Races,10.4,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
40-44,30.2,32.3,3424,Incidence,10959118,All Races,31.2,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
45-49,50.8,53.7,5102,Incidence,9773825,All Races,52.2,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
5-9,~,~,~,Incidence,9827638,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",1999,NA
50-54,65.4,68.9,5682,Incidence,8457936,All Races,67.2,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
55-59,71.6,75.8,4870,Incidence,6610482,All Races,73.7,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
60-64,78.3,83.1,4420,Incidence,5478102,All Races,80.7,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
65-69,84.1,89.3,4349,Incidence,5017117,All Races,86.7,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
70-74,84.6,89.9,4246,Incidence,4866748,All Races,87.2,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
75-79,80.3,85.8,3511,Incidence,4231312,All Races,83,Male and Female,"Female Breast, <i>in situ</i>",1999,FALSE
80-84,55.5,61.0,1750,Incidence,3006630,All Races,58.2,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
85+,29.5,33.6,910,Incidence,2886265,All Races,31.5,Male and Female,"Female Breast, <i>in situ</i>",1999,TRUE
<1,~,~,~,Incidence,1809670,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",1999,NA
1-4,~,~,~,Incidence,14991152,All Races,NA,Male and Female,Hodgkin Lymphoma,1999,NA
10-14,1.0,1.3,228,Incidence,19742631,All Races,1.2,Male and Female,Hodgkin Lymphoma,1999,TRUE
15-19,2.8,3.3,605,Incidence,19585857,All Races,3.1,Male and Female,Hodgkin Lymphoma,1999,TRUE
20-24,4.1,4.7,804,Incidence,18148795,All Races,4.4,Male and Female,Hodgkin Lymphoma,1999,TRUE
25-29,4.1,4.7,833,Incidence,19157556,All Races,4.3,Male and Female,Hodgkin Lymphoma,1999,TRUE
30-34,3.9,4.4,837,Incidence,20196134,All Races,4.1,Male and Female,Hodgkin Lymphoma,1999,TRUE
35-39,3.2,3.7,772,Incidence,22411728,All Races,3.4,Male and Female,Hodgkin Lymphoma,1999,TRUE
40-44,2.5,2.9,587,Incidence,21729686,All Races,2.7,Male and Female,Hodgkin Lymphoma,1999,TRUE
45-49,2.4,2.8,498,Incidence,19235534,All Races,2.6,Male and Female,Hodgkin Lymphoma,1999,TRUE
5-9,0.3,0.5,79,Incidence,20146188,All Races,0.4,Male and Female,Hodgkin Lymphoma,1999,TRUE
50-54,2.2,2.7,400,Incidence,16557188,All Races,2.4,Male and Female,Hodgkin Lymphoma,1999,TRUE
55-59,2.6,3.2,364,Incidence,12787366,All Races,2.8,Male and Female,Hodgkin Lymphoma,1999,TRUE
60-64,2.9,3.6,339,Incidence,10435791,All Races,3.2,Male and Female,Hodgkin Lymphoma,1999,TRUE
65-69,3.1,3.8,320,Incidence,9311622,All Races,3.4,Male and Female,Hodgkin Lymphoma,1999,TRUE
70-74,3.7,4.6,359,Incidence,8670689,All Races,4.1,Male and Female,Hodgkin Lymphoma,1999,TRUE
75-79,3.7,4.7,301,Incidence,7174978,All Races,4.2,Male and Female,Hodgkin Lymphoma,1999,TRUE
80-84,3.5,4.6,191,Incidence,4767800,All Races,4,Male and Female,Hodgkin Lymphoma,1999,FALSE
85+,2.9,4.1,141,Incidence,4050040,All Races,3.5,Male and Female,Hodgkin Lymphoma,1999,TRUE
<1,~,~,~,Incidence,3708753,All Races,NA,Male and Female,Hodgkin Lymphoma,1999,NA
1-4,~,~,~,Incidence,14991152,All Races,NA,Male and Female,Kaposi Sarcoma,1999,NA
10-14,~,~,~,Incidence,19742631,All Races,NA,Male and Female,Kaposi Sarcoma,1999,NA
15-19,~,~,~,Incidence,19585857,All Races,NA,Male and Female,Kaposi Sarcoma,1999,NA
20-24,~,~,~,Incidence,18148795,All Races,NA,Male and Female,Kaposi Sarcoma,1999,NA
25-29,0.3,0.4,68,Incidence,19157556,All Races,0.4,Male and Female,Kaposi Sarcoma,1999,TRUE
30-34,1.1,1.4,243,Incidence,20196134,All Races,1.2,Male and Female,Kaposi Sarcoma,1999,TRUE
35-39,1.1,1.4,286,Incidence,22411728,All Races,1.3,Male and Female,Kaposi Sarcoma,1999,TRUE
40-44,1.0,1.3,241,Incidence,21729686,All Races,1.1,Male and Female,Kaposi Sarcoma,1999,TRUE
45-49,0.6,0.8,130,Incidence,19235534,All Races,0.7,Male and Female,Kaposi Sarcoma,1999,TRUE
5-9,~,~,~,Incidence,20146188,All Races,NA,Male and Female,Kaposi Sarcoma,1999,NA
50-54,0.4,0.6,81,Incidence,16557188,All Races,0.5,Male and Female,Kaposi Sarcoma,1999,TRUE
55-59,0.3,0.5,52,Incidence,12787366,All Races,0.4,Male and Female,Kaposi Sarcoma,1999,TRUE
60-64,0.3,0.6,43,Incidence,10435791,All Races,0.4,Male and Female,Kaposi Sarcoma,1999,TRUE
65-69,0.3,0.6,44,Incidence,9311622,All Races,0.5,Male and Female,Kaposi Sarcoma,1999,TRUE
70-74,0.4,0.7,46,Incidence,8670689,All Races,0.5,Male and Female,Kaposi Sarcoma,1999,TRUE
75-79,0.6,1.0,56,Incidence,7174978,All Races,0.8,Male and Female,Kaposi Sarcoma,1999,TRUE
80-84,1.0,1.6,61,Incidence,4767800,All Races,1.3,Male and Female,Kaposi Sarcoma,1999,TRUE
85+,1.8,2.8,91,Incidence,4050040,All Races,2.2,Male and Female,Kaposi Sarcoma,1999,TRUE
<1,~,~,~,Incidence,3708753,All Races,NA,Male and Female,Kaposi Sarcoma,1999,NA
1-4,1.7,2.1,286,Incidence,14991152,All Races,1.9,Male and Female,Kidney and Renal Pelvis,1999,TRUE
10-14,0.1,0.2,25,Incidence,19742631,All Races,0.1,Male and Female,Kidney and Renal Pelvis,1999,TRUE
15-19,0.1,0.2,29,Incidence,19585857,All Races,0.1,Male and Female,Kidney and Renal Pelvis,1999,TRUE
20-24,0.2,0.4,50,Incidence,18148795,All Races,0.3,Male and Female,Kidney and Renal Pelvis,1999,TRUE
25-29,0.5,0.7,120,Incidence,19157556,All Races,0.6,Male and Female,Kidney and Renal Pelvis,1999,TRUE
30-34,1.3,1.6,285,Incidence,20196134,All Races,1.4,Male and Female,Kidney and Renal Pelvis,1999,TRUE
35-39,2.7,3.2,657,Incidence,22411728,All Races,2.9,Male and Female,Kidney and Renal Pelvis,1999,TRUE
40-44,5.7,6.4,1316,Incidence,21729686,All Races,6.1,Male and Female,Kidney and Renal Pelvis,1999,TRUE
45-49,10.3,11.2,2065,Incidence,19235534,All Races,10.7,Male and Female,Kidney and Renal Pelvis,1999,TRUE
5-9,0.4,0.6,107,Incidence,20146188,All Races,0.5,Male and Female,Kidney and Renal Pelvis,1999,TRUE
50-54,16.8,18.1,2892,Incidence,16557188,All Races,17.5,Male and Female,Kidney and Renal Pelvis,1999,TRUE
55-59,24.9,26.7,3301,Incidence,12787366,All Races,25.8,Male and Female,Kidney and Renal Pelvis,1999,TRUE
60-64,35.4,37.7,3810,Incidence,10435791,All Races,36.5,Male and Female,Kidney and Renal Pelvis,1999,TRUE
65-69,45.5,48.3,4362,Incidence,9311622,All Races,46.8,Male and Female,Kidney and Renal Pelvis,1999,TRUE
70-74,52.7,55.8,4699,Incidence,8670689,All Races,54.2,Male and Female,Kidney and Renal Pelvis,1999,TRUE
75-79,56.8,60.4,4203,Incidence,7174978,All Races,58.6,Male and Female,Kidney and Renal Pelvis,1999,TRUE
80-84,54.0,58.2,2673,Incidence,4767800,All Races,56.1,Male and Female,Kidney and Renal Pelvis,1999,TRUE
85+,40.7,44.8,1730,Incidence,4050040,All Races,42.7,Male and Female,Kidney and Renal Pelvis,1999,TRUE
<1,1.4,2.3,68,Incidence,3708753,All Races,1.8,Male and Female,Kidney and Renal Pelvis,1999,TRUE
1-4,~,~,~,Incidence,14991152,All Races,NA,Male and Female,Larynx,1999,NA
10-14,~,~,~,Incidence,19742631,All Races,NA,Male and Female,Larynx,1999,NA
15-19,~,~,~,Incidence,19585857,All Races,NA,Male and Female,Larynx,1999,NA
20-24,~,~,~,Incidence,18148795,All Races,NA,Male and Female,Larynx,1999,NA
25-29,~,~,~,Incidence,19157556,All Races,NA,Male and Female,Larynx,1999,NA
30-34,0.1,0.2,36,Incidence,20196134,All Races,0.2,Male and Female,Larynx,1999,TRUE
35-39,0.5,0.7,137,Incidence,22411728,All Races,0.6,Male and Female,Larynx,1999,TRUE
40-44,1.5,1.8,359,Incidence,21729686,All Races,1.7,Male and Female,Larynx,1999,TRUE
45-49,3.5,4.1,728,Incidence,19235534,All Races,3.8,Male and Female,Larynx,1999,TRUE
5-9,~,~,~,Incidence,20146188,All Races,NA,Male and Female,Larynx,1999,NA
50-54,7.0,7.8,1227,Incidence,16557188,All Races,7.4,Male and Female,Larynx,1999,TRUE
55-59,12.2,13.4,1636,Incidence,12787366,All Races,12.8,Male and Female,Larynx,1999,TRUE
60-64,17.3,19.0,1893,Incidence,10435791,All Races,18.1,Male and Female,Larynx,1999,TRUE
65-69,21.2,23.1,2063,Incidence,9311622,All Races,22.2,Male and Female,Larynx,1999,TRUE
70-74,20.6,22.6,1873,Incidence,8670689,All Races,21.6,Male and Female,Larynx,1999,TRUE
75-79,17.4,19.4,1320,Incidence,7174978,All Races,18.4,Male and Female,Larynx,1999,TRUE
80-84,14.1,16.3,723,Incidence,4767800,All Races,15.2,Male and Female,Larynx,1999,TRUE
85+,9.9,12.0,442,Incidence,4050040,All Races,10.9,Male and Female,Larynx,1999,TRUE
<1,~,~,~,Incidence,3708753,All Races,NA,Male and Female,Larynx,1999,NA
1-4,7.5,8.4,1192,Incidence,14991152,All Races,8,Male and Female,Leukemias,1999,FALSE
10-14,2.6,3.1,560,Incidence,19742631,All Races,2.8,Male and Female,Leukemias,1999,TRUE
15-19,2.4,2.9,522,Incidence,19585857,All Races,2.7,Male and Female,Leukemias,1999,TRUE
20-24,2.3,2.7,452,Incidence,18148795,All Races,2.5,Male and Female,Leukemias,1999,TRUE
25-29,2.3,2.8,488,Incidence,19157556,All Races,2.5,Male and Female,Leukemias,1999,TRUE
30-34,2.5,3.0,556,Incidence,20196134,All Races,2.8,Male and Female,Leukemias,1999,TRUE
35-39,3.1,3.6,759,Incidence,22411728,All Races,3.4,Male and Female,Leukemias,1999,TRUE
40-44,4.4,4.9,1008,Incidence,21729686,All Races,4.6,Male and Female,Leukemias,1999,TRUE
45-49,7.0,7.7,1415,Incidence,19235534,All Races,7.4,Male and Female,Leukemias,1999,TRUE
5-9,3.4,3.9,732,Incidence,20146188,All Races,3.6,Male and Female,Leukemias,1999,TRUE
50-54,10.5,11.5,1820,Incidence,16557188,All Races,11,Male and Female,Leukemias,1999,FALSE
55-59,17.2,18.6,2286,Incidence,12787366,All Races,17.9,Male and Female,Leukemias,1999,TRUE
60-64,24.9,26.9,2701,Incidence,10435791,All Races,25.9,Male and Female,Leukemias,1999,TRUE
65-69,35.7,38.2,3442,Incidence,9311622,All Races,37,Male and Female,Leukemias,1999,FALSE
70-74,49.9,53.0,4460,Incidence,8670689,All Races,51.4,Male and Female,Leukemias,1999,TRUE
75-79,61.5,65.2,4547,Incidence,7174978,All Races,63.4,Male and Female,Leukemias,1999,TRUE
80-84,70.7,75.5,3484,Incidence,4767800,All Races,73.1,Male and Female,Leukemias,1999,TRUE
85+,82.4,88.1,3451,Incidence,4050040,All Races,85.2,Male and Female,Leukemias,1999,TRUE
<1,3.7,5.1,162,Incidence,3708753,All Races,4.4,Male and Female,Leukemias,1999,TRUE
1-4,0.4,0.6,69,Incidence,14991152,All Races,0.5,Male and Female,Liver and Intrahepatic Bile Duct,1999,TRUE
10-14,0.1,0.1,18,Incidence,19742631,All Races,0.1,Male and Female,Liver and Intrahepatic Bile Duct,1999,TRUE
15-19,0.1,0.2,35,Incidence,19585857,All Races,0.2,Male and Female,Liver and Intrahepatic Bile Duct,1999,TRUE
20-24,0.2,0.3,43,Incidence,18148795,All Races,0.2,Male and Female,Liver and Intrahepatic Bile Duct,1999,TRUE
25-29,0.2,0.4,53,Incidence,19157556,All Races,0.3,Male and Female,Liver and Intrahepatic Bile Duct,1999,TRUE
30-34,0.3,0.4,68,Incidence,20196134,All Races,0.3,Male and Female,Liver and Intrahepatic Bile Duct,1999,TRUE
35-39,0.6,0.8,149,Incidence,22411728,All Races,0.7,Male and Female,Liver and Intrahepatic Bile Duct,1999,TRUE
